WAVENUMBER         COMPLEX_FREQUENCY   RESIDUAL_OUTPUT_D(w, k)              PDF_ARGUMENT
8.201e-05       3.394e+01-3.611e-02j      2.384e-07+3.839e-09j     -7.102e-02-2.012e-04j
8.215e-05       3.396e+01-3.619e-02j     -1.192e-07-1.987e-09j     -7.077e-02-2.013e-04j
8.230e-05       3.398e+01-3.626e-02j      2.384e-07+1.522e-09j     -7.052e-02-2.014e-04j
8.244e-05       3.400e+01-3.634e-02j      0.000e+00-5.848e-10j     -7.028e-02-2.014e-04j
8.258e-05       3.403e+01-3.641e-02j      0.000e+00-3.300e-10j     -7.004e-02-2.015e-04j
8.273e-05       3.405e+01-3.648e-02j     -1.192e-07-1.343e-09j     -6.979e-02-2.015e-04j
8.287e-05       3.407e+01-3.655e-02j      2.384e-07+5.113e-09j     -6.955e-02-2.016e-04j
8.301e-05       3.409e+01-3.661e-02j      3.576e-07-1.112e-09j     -6.931e-02-2.016e-04j
8.316e-05       3.411e+01-3.668e-02j     -4.768e-07-4.453e-10j     -6.907e-02-2.016e-04j
8.330e-05       3.413e+01-3.674e-02j      1.192e-07+2.719e-11j     -6.884e-02-2.015e-04j
8.345e-05       3.416e+01-3.680e-02j     -1.192e-07-1.097e-10j     -6.860e-02-2.015e-04j
8.359e-05       3.418e+01-3.685e-02j      1.192e-07-1.379e-09j     -6.836e-02-2.015e-04j
8.373e-05       3.420e+01-3.691e-02j     -4.768e-07+3.269e-09j     -6.813e-02-2.014e-04j
8.388e-05       3.422e+01-3.696e-02j     -2.384e-07-2.979e-09j     -6.790e-02-2.014e-04j
8.402e-05       3.424e+01-3.701e-02j     -1.192e-07-1.926e-09j     -6.766e-02-2.013e-04j
8.417e-05       3.426e+01-3.706e-02j      0.000e+00+2.526e-09j     -6.743e-02-2.012e-04j
8.431e-05       3.428e+01-3.711e-02j      1.192e-07+8.570e-11j     -6.720e-02-2.011e-04j
8.445e-05       3.430e+01-3.715e-02j      2.384e-07+4.915e-09j     -6.697e-02-2.010e-04j
8.460e-05       3.433e+01-3.719e-02j      0.000e+00-3.126e-10j     -6.674e-02-2.009e-04j
8.474e-05       3.435e+01-3.723e-02j     -4.768e-07-1.695e-09j     -6.652e-02-2.008e-04j
8.489e-05       3.437e+01-3.727e-02j      0.000e+00+1.492e-09j     -6.629e-02-2.007e-04j
8.503e-05       3.439e+01-3.731e-02j      1.192e-07-3.087e-10j     -6.607e-02-2.005e-04j
8.517e-05       3.441e+01-3.735e-02j      3.576e-07+3.899e-09j     -6.584e-02-2.004e-04j
8.532e-05       3.443e+01-3.738e-02j      0.000e+00-2.128e-09j     -6.562e-02-2.002e-04j
8.546e-05       3.445e+01-3.741e-02j     -1.192e-07+6.993e-10j     -6.540e-02-2.001e-04j
8.560e-05       3.447e+01-3.744e-02j      2.384e-07+4.840e-09j     -6.517e-02-1.999e-04j
8.575e-05       3.449e+01-3.747e-02j      2.384e-07+1.035e-09j     -6.495e-02-1.997e-04j
8.589e-05       3.451e+01-3.750e-02j      0.000e+00+1.078e-09j     -6.473e-02-1.995e-04j
8.604e-05       3.454e+01-3.752e-02j      2.384e-07-1.980e-10j     -6.452e-02-1.993e-04j
8.618e-05       3.456e+01-3.755e-02j      0.000e+00-8.616e-10j     -6.430e-02-1.991e-04j
8.632e-05       3.458e+01-3.757e-02j     -2.384e-07+3.145e-09j     -6.408e-02-1.989e-04j
8.647e-05       3.460e+01-3.759e-02j      0.000e+00-1.707e-11j     -6.387e-02-1.987e-04j
8.661e-05       3.462e+01-3.761e-02j     -1.192e-07-1.187e-09j     -6.365e-02-1.984e-04j
8.676e-05       3.464e+01-3.762e-02j      3.576e-07+3.673e-10j     -6.344e-02-1.982e-04j
8.690e-05       3.466e+01-3.764e-02j      3.576e-07-1.280e-11j     -6.322e-02-1.979e-04j
8.704e-05       3.468e+01-3.765e-02j      2.384e-07+1.602e-09j     -6.301e-02-1.977e-04j
8.719e-05       3.470e+01-3.766e-02j      3.576e-07+3.336e-10j     -6.280e-02-1.974e-04j
8.733e-05       3.472e+01-3.768e-02j      4.768e-07+2.339e-09j     -6.259e-02-1.972e-04j
8.748e-05       3.474e+01-3.768e-02j     -3.576e-07+8.071e-10j     -6.238e-02-1.969e-04j
8.762e-05       3.476e+01-3.769e-02j     -2.384e-07-1.816e-09j     -6.217e-02-1.966e-04j
8.776e-05       3.478e+01-3.770e-02j     -3.576e-07-6.543e-10j     -6.197e-02-1.963e-04j
8.791e-05       3.480e+01-3.770e-02j      3.576e-07-8.948e-11j     -6.176e-02-1.960e-04j
8.805e-05       3.482e+01-3.771e-02j     -3.576e-07-1.128e-09j     -6.156e-02-1.957e-04j
8.819e-05       3.484e+01-3.771e-02j      4.768e-07+3.132e-10j     -6.135e-02-1.954e-04j
8.834e-05       3.486e+01-3.771e-02j     -1.192e-07+5.916e-10j     -6.115e-02-1.951e-04j
8.848e-05       3.488e+01-3.771e-02j      0.000e+00-9.991e-10j     -6.094e-02-1.948e-04j
8.863e-05       3.490e+01-3.771e-02j      3.576e-07+1.353e-09j     -6.074e-02-1.945e-04j
8.877e-05       3.492e+01-3.771e-02j      2.384e-07-5.921e-10j     -6.054e-02-1.941e-04j
8.891e-05       3.494e+01-3.770e-02j     -2.384e-07-2.192e-09j     -6.034e-02-1.938e-04j
8.906e-05       3.496e+01-3.770e-02j      2.384e-07-1.690e-09j     -6.014e-02-1.935e-04j
8.920e-05       3.498e+01-3.769e-02j      0.000e+00+5.443e-10j     -5.994e-02-1.931e-04j
8.935e-05       3.500e+01-3.769e-02j      2.384e-07+2.190e-11j     -5.975e-02-1.928e-04j
8.949e-05       3.502e+01-3.768e-02j     -3.576e-07+1.993e-09j     -5.955e-02-1.924e-04j
8.963e-05       3.504e+01-3.767e-02j      3.576e-07+5.291e-11j     -5.935e-02-1.921e-04j
8.978e-05       3.506e+01-3.766e-02j      3.576e-07+1.897e-09j     -5.916e-02-1.917e-04j
8.992e-05       3.508e+01-3.764e-02j     -1.192e-07+1.694e-09j     -5.896e-02-1.913e-04j
9.006e-05       3.510e+01-3.763e-02j      7.153e-07+1.008e-10j     -5.877e-02-1.909e-04j
9.021e-05       3.512e+01-3.762e-02j      2.384e-07+1.319e-10j     -5.858e-02-1.906e-04j
9.035e-05       3.514e+01-3.760e-02j      2.384e-07+3.201e-10j     -5.839e-02-1.902e-04j
9.050e-05       3.516e+01-3.758e-02j      3.576e-07-4.767e-10j     -5.819e-02-1.898e-04j
9.064e-05       3.518e+01-3.757e-02j      1.192e-07-2.241e-09j     -5.800e-02-1.894e-04j
9.078e-05       3.520e+01-3.755e-02j      1.192e-07-5.870e-10j     -5.782e-02-1.890e-04j
9.093e-05       3.522e+01-3.753e-02j     -3.576e-07-9.617e-10j     -5.763e-02-1.886e-04j
9.107e-05       3.524e+01-3.751e-02j      2.384e-07+1.044e-09j     -5.744e-02-1.882e-04j
9.122e-05       3.525e+01-3.749e-02j      3.576e-07+7.903e-09j     -5.725e-02-1.878e-04j
9.136e-05       3.527e+01-3.746e-02j      2.384e-07+1.090e-09j     -5.707e-02-1.874e-04j
9.150e-05       3.529e+01-3.744e-02j     -2.384e-07-1.539e-10j     -5.688e-02-1.870e-04j
9.165e-05       3.531e+01-3.741e-02j      4.768e-07-5.472e-10j     -5.670e-02-1.866e-04j
9.179e-05       3.533e+01-3.739e-02j     -1.192e-07-1.385e-09j     -5.651e-02-1.862e-04j
9.194e-05       3.535e+01-3.736e-02j      2.384e-07-9.943e-10j     -5.633e-02-1.857e-04j
9.208e-05       3.537e+01-3.734e-02j      0.000e+00+3.026e-10j     -5.615e-02-1.853e-04j
9.222e-05       3.539e+01-3.731e-02j      3.576e-07+2.518e-09j     -5.596e-02-1.849e-04j
9.237e-05       3.541e+01-3.728e-02j     -2.384e-07-2.089e-09j     -5.578e-02-1.844e-04j
9.251e-05       3.543e+01-3.725e-02j      1.192e-07-6.678e-10j     -5.560e-02-1.840e-04j
9.265e-05       3.544e+01-3.722e-02j      0.000e+00+9.331e-10j     -5.542e-02-1.836e-04j
9.280e-05       3.546e+01-3.719e-02j      0.000e+00-5.984e-10j     -5.525e-02-1.831e-04j
9.294e-05       3.548e+01-3.715e-02j     -2.384e-07-8.756e-10j     -5.507e-02-1.827e-04j
9.309e-05       3.550e+01-3.712e-02j      0.000e+00+5.664e-09j     -5.489e-02-1.822e-04j
9.323e-05       3.552e+01-3.709e-02j      3.576e-07-5.322e-10j     -5.472e-02-1.818e-04j
9.337e-05       3.554e+01-3.705e-02j      1.192e-07+4.880e-09j     -5.454e-02-1.813e-04j
9.352e-05       3.556e+01-3.702e-02j      1.192e-07+5.168e-10j     -5.437e-02-1.809e-04j
9.366e-05       3.558e+01-3.698e-02j      0.000e+00+8.176e-10j     -5.419e-02-1.804e-04j
9.381e-05       3.559e+01-3.694e-02j     -3.576e-07-4.839e-10j     -5.402e-02-1.800e-04j
9.395e-05       3.561e+01-3.690e-02j      0.000e+00+1.753e-10j     -5.385e-02-1.795e-04j
9.409e-05       3.563e+01-3.687e-02j      3.576e-07+4.450e-09j     -5.367e-02-1.791e-04j
9.424e-05       3.565e+01-3.683e-02j      3.576e-07-1.448e-09j     -5.350e-02-1.786e-04j
9.438e-05       3.567e+01-3.679e-02j      2.384e-07-4.843e-10j     -5.333e-02-1.781e-04j
9.452e-05       3.569e+01-3.675e-02j     -1.192e-07-1.627e-09j     -5.316e-02-1.777e-04j
9.467e-05       3.570e+01-3.670e-02j     -1.192e-07-1.367e-09j     -5.299e-02-1.772e-04j
9.481e-05       3.572e+01-3.666e-02j     -5.960e-07-1.525e-09j     -5.282e-02-1.767e-04j
9.496e-05       3.574e+01-3.662e-02j      2.384e-07-1.210e-10j     -5.266e-02-1.762e-04j
9.510e-05       3.576e+01-3.658e-02j     -2.384e-07-1.102e-09j     -5.249e-02-1.758e-04j
9.524e-05       3.578e+01-3.653e-02j     -1.192e-07+4.072e-10j     -5.232e-02-1.753e-04j
9.539e-05       3.579e+01-3.649e-02j     -1.192e-07-4.342e-10j     -5.216e-02-1.748e-04j
9.553e-05       3.581e+01-3.644e-02j      4.768e-07-1.863e-09j     -5.199e-02-1.743e-04j
9.568e-05       3.583e+01-3.640e-02j      0.000e+00+4.213e-10j     -5.183e-02-1.739e-04j
9.582e-05       3.585e+01-3.635e-02j     -1.192e-07-4.105e-10j     -5.167e-02-1.734e-04j
9.596e-05       3.587e+01-3.630e-02j      2.384e-07+6.920e-10j     -5.150e-02-1.729e-04j
9.611e-05       3.588e+01-3.625e-02j     -1.192e-07+3.133e-09j     -5.134e-02-1.724e-04j
9.625e-05       3.590e+01-3.621e-02j     -2.384e-07+8.836e-10j     -5.118e-02-1.719e-04j
9.640e-05       3.592e+01-3.616e-02j     -1.192e-07+1.835e-09j     -5.102e-02-1.714e-04j
9.654e-05       3.594e+01-3.611e-02j     -2.384e-07-1.449e-09j     -5.086e-02-1.709e-04j
9.668e-05       3.596e+01-3.606e-02j      0.000e+00+1.035e-09j     -5.070e-02-1.704e-04j
9.683e-05       3.597e+01-3.601e-02j      3.576e-07+6.644e-09j     -5.054e-02-1.700e-04j
9.697e-05       3.599e+01-3.596e-02j      1.192e-07+1.565e-09j     -5.038e-02-1.695e-04j
9.711e-05       3.601e+01-3.591e-02j     -3.576e-07+1.746e-09j     -5.022e-02-1.690e-04j
9.726e-05       3.603e+01-3.585e-02j     -4.768e-07+2.130e-09j     -5.007e-02-1.685e-04j
9.740e-05       3.604e+01-3.580e-02j      2.384e-07+3.502e-10j     -4.991e-02-1.680e-04j
9.755e-05       3.606e+01-3.575e-02j      0.000e+00+1.177e-10j     -4.975e-02-1.675e-04j
9.769e-05       3.608e+01-3.570e-02j     -3.576e-07-3.127e-09j     -4.960e-02-1.670e-04j
9.783e-05       3.610e+01-3.564e-02j      1.192e-07-7.413e-10j     -4.944e-02-1.665e-04j
9.798e-05       3.611e+01-3.559e-02j      3.576e-07+2.575e-10j     -4.929e-02-1.660e-04j
9.812e-05       3.613e+01-3.553e-02j     -2.384e-07-1.758e-09j     -4.914e-02-1.655e-04j
9.827e-05       3.615e+01-3.548e-02j     -1.192e-07+2.957e-10j     -4.898e-02-1.650e-04j
9.841e-05       3.617e+01-3.542e-02j      0.000e+00+1.719e-11j     -4.883e-02-1.645e-04j
9.855e-05       3.618e+01-3.537e-02j     -1.192e-07-3.794e-10j     -4.868e-02-1.640e-04j
9.870e-05       3.620e+01-3.531e-02j      3.576e-07-1.115e-09j     -4.853e-02-1.635e-04j
9.884e-05       3.622e+01-3.525e-02j      1.192e-07-5.324e-10j     -4.838e-02-1.630e-04j
9.898e-05       3.623e+01-3.520e-02j      1.192e-07+1.299e-10j     -4.823e-02-1.625e-04j
9.913e-05       3.625e+01-3.514e-02j     -4.768e-07+4.447e-10j     -4.808e-02-1.620e-04j
9.927e-05       3.627e+01-3.508e-02j      0.000e+00+2.440e-09j     -4.793e-02-1.615e-04j
9.942e-05       3.629e+01-3.502e-02j     -3.576e-07+2.962e-10j     -4.778e-02-1.610e-04j
9.956e-05       3.630e+01-3.496e-02j     -4.768e-07+1.764e-09j     -4.764e-02-1.605e-04j
9.970e-05       3.632e+01-3.490e-02j      1.192e-07+6.992e-10j     -4.749e-02-1.600e-04j
9.985e-05       3.634e+01-3.485e-02j      2.384e-07+8.788e-10j     -4.735e-02-1.595e-04j
9.999e-05       3.635e+01-3.479e-02j      3.576e-07-2.762e-09j     -4.720e-02-1.590e-04j
1.001e-04       3.637e+01-3.473e-02j      2.384e-07-1.181e-09j     -4.705e-02-1.585e-04j
1.003e-04       3.639e+01-3.466e-02j     -2.384e-07-5.814e-10j     -4.691e-02-1.580e-04j
1.004e-04       3.640e+01-3.460e-02j     -1.192e-07+6.645e-10j     -4.677e-02-1.575e-04j
1.006e-04       3.642e+01-3.454e-02j     -2.384e-07-5.558e-10j     -4.662e-02-1.570e-04j
1.007e-04       3.644e+01-3.448e-02j      4.768e-07-3.622e-10j     -4.648e-02-1.565e-04j
1.009e-04       3.645e+01-3.442e-02j      1.192e-07-6.234e-10j     -4.634e-02-1.560e-04j
1.010e-04       3.647e+01-3.436e-02j      3.576e-07+2.801e-10j     -4.620e-02-1.555e-04j
1.011e-04       3.649e+01-3.430e-02j     -3.576e-07-8.203e-10j     -4.606e-02-1.550e-04j
1.013e-04       3.650e+01-3.423e-02j     -1.192e-07-5.678e-11j     -4.592e-02-1.545e-04j
1.014e-04       3.652e+01-3.417e-02j     -2.384e-07+3.901e-10j     -4.578e-02-1.540e-04j
1.016e-04       3.654e+01-3.411e-02j      2.384e-07-8.957e-10j     -4.564e-02-1.535e-04j
1.017e-04       3.655e+01-3.404e-02j      5.960e-07-8.048e-10j     -4.550e-02-1.530e-04j
1.019e-04       3.657e+01-3.398e-02j      3.576e-07+3.009e-10j     -4.536e-02-1.525e-04j
1.020e-04       3.659e+01-3.392e-02j     -2.384e-07+1.386e-09j     -4.522e-02-1.520e-04j
1.022e-04       3.660e+01-3.385e-02j      4.768e-07-3.229e-09j     -4.509e-02-1.515e-04j
1.023e-04       3.662e+01-3.379e-02j     -2.384e-07+6.424e-10j     -4.495e-02-1.510e-04j
1.024e-04       3.664e+01-3.372e-02j      1.192e-07-3.481e-10j     -4.481e-02-1.505e-04j
1.026e-04       3.665e+01-3.366e-02j      2.384e-07-1.297e-09j     -4.468e-02-1.499e-04j
1.027e-04       3.667e+01-3.359e-02j      1.192e-07-7.829e-10j     -4.454e-02-1.494e-04j
1.029e-04       3.669e+01-3.353e-02j      0.000e+00+1.982e-09j     -4.441e-02-1.490e-04j
1.030e-04       3.670e+01-3.346e-02j      2.384e-07-3.413e-10j     -4.427e-02-1.485e-04j
1.032e-04       3.672e+01-3.340e-02j      0.000e+00+1.964e-09j     -4.414e-02-1.480e-04j
1.033e-04       3.673e+01-3.333e-02j      4.768e-07-3.038e-09j     -4.401e-02-1.475e-04j
1.034e-04       3.675e+01-3.326e-02j      3.576e-07+2.608e-10j     -4.388e-02-1.470e-04j
1.036e-04       3.677e+01-3.320e-02j      2.384e-07+1.090e-09j     -4.374e-02-1.465e-04j
1.037e-04       3.678e+01-3.313e-02j      1.192e-07+2.055e-09j     -4.361e-02-1.460e-04j
1.039e-04       3.680e+01-3.306e-02j     -1.192e-07+1.750e-10j     -4.348e-02-1.455e-04j
1.040e-04       3.681e+01-3.300e-02j      0.000e+00-9.094e-10j     -4.335e-02-1.450e-04j
1.042e-04       3.683e+01-3.293e-02j     -2.384e-07+4.509e-10j     -4.322e-02-1.445e-04j
1.043e-04       3.685e+01-3.286e-02j     -1.192e-07+1.840e-09j     -4.309e-02-1.440e-04j
1.045e-04       3.686e+01-3.279e-02j      3.576e-07-8.261e-10j     -4.296e-02-1.435e-04j
1.046e-04       3.688e+01-3.273e-02j      2.384e-07-4.175e-09j     -4.284e-02-1.430e-04j
1.047e-04       3.689e+01-3.266e-02j      1.192e-07-1.757e-10j     -4.271e-02-1.425e-04j
1.049e-04       3.691e+01-3.259e-02j      2.384e-07-2.724e-10j     -4.258e-02-1.420e-04j
1.050e-04       3.692e+01-3.252e-02j      5.960e-07-6.560e-10j     -4.245e-02-1.415e-04j
1.052e-04       3.694e+01-3.246e-02j      4.768e-07+8.294e-10j     -4.233e-02-1.410e-04j
1.053e-04       3.696e+01-3.239e-02j     -3.576e-07+1.603e-09j     -4.220e-02-1.405e-04j
1.055e-04       3.697e+01-3.232e-02j     -3.576e-07+8.030e-10j     -4.208e-02-1.401e-04j
1.056e-04       3.699e+01-3.225e-02j      2.384e-07+2.361e-09j     -4.195e-02-1.396e-04j
1.057e-04       3.700e+01-3.218e-02j      3.576e-07-6.238e-10j     -4.183e-02-1.391e-04j
1.059e-04       3.702e+01-3.211e-02j      5.960e-07+1.297e-09j     -4.170e-02-1.386e-04j
1.060e-04       3.703e+01-3.204e-02j     -3.576e-07+1.394e-09j     -4.158e-02-1.381e-04j
1.062e-04       3.705e+01-3.197e-02j     -2.384e-07+7.849e-11j     -4.146e-02-1.376e-04j
1.063e-04       3.706e+01-3.190e-02j     -4.768e-07+1.311e-09j     -4.133e-02-1.371e-04j
1.065e-04       3.708e+01-3.184e-02j      3.576e-07-6.794e-10j     -4.121e-02-1.367e-04j
1.066e-04       3.710e+01-3.177e-02j     -2.384e-07+1.946e-09j     -4.109e-02-1.362e-04j
1.068e-04       3.711e+01-3.170e-02j      1.192e-07+8.030e-10j     -4.097e-02-1.357e-04j
1.069e-04       3.713e+01-3.163e-02j      4.768e-07-3.348e-10j     -4.085e-02-1.352e-04j
1.070e-04       3.714e+01-3.156e-02j      2.384e-07+6.637e-10j     -4.073e-02-1.347e-04j
1.072e-04       3.716e+01-3.149e-02j      0.000e+00-7.607e-10j     -4.061e-02-1.343e-04j
1.073e-04       3.717e+01-3.142e-02j     -1.192e-07-2.090e-10j     -4.049e-02-1.338e-04j
1.075e-04       3.719e+01-3.135e-02j      0.000e+00+6.985e-10j     -4.037e-02-1.333e-04j
1.076e-04       3.720e+01-3.128e-02j      1.192e-07-3.043e-09j     -4.025e-02-1.328e-04j
1.078e-04       3.722e+01-3.121e-02j     -3.576e-07+1.465e-09j     -4.014e-02-1.323e-04j
1.079e-04       3.723e+01-3.114e-02j      0.000e+00+4.029e-10j     -4.002e-02-1.319e-04j
1.080e-04       3.725e+01-3.107e-02j      7.153e-07-2.757e-09j     -3.990e-02-1.314e-04j
1.082e-04       3.726e+01-3.100e-02j      2.384e-07-2.117e-10j     -3.978e-02-1.309e-04j
1.083e-04       3.728e+01-3.093e-02j      0.000e+00-6.205e-10j     -3.967e-02-1.305e-04j
1.085e-04       3.729e+01-3.086e-02j      1.192e-07+1.329e-09j     -3.955e-02-1.300e-04j
1.086e-04       3.731e+01-3.079e-02j      5.960e-07+6.378e-10j     -3.944e-02-1.295e-04j
1.088e-04       3.732e+01-3.071e-02j      1.192e-07-1.885e-09j     -3.932e-02-1.291e-04j
1.089e-04       3.734e+01-3.064e-02j      0.000e+00+1.883e-09j     -3.921e-02-1.286e-04j
1.091e-04       3.735e+01-3.057e-02j     -4.768e-07+1.232e-09j     -3.909e-02-1.281e-04j
1.092e-04       3.737e+01-3.050e-02j      0.000e+00+6.458e-10j     -3.898e-02-1.277e-04j
1.093e-04       3.738e+01-3.043e-02j      4.768e-07-7.715e-10j     -3.887e-02-1.272e-04j
1.095e-04       3.740e+01-3.036e-02j     -2.384e-07-1.677e-09j     -3.876e-02-1.267e-04j
1.096e-04       3.741e+01-3.029e-02j      2.384e-07+9.226e-10j     -3.864e-02-1.263e-04j
1.098e-04       3.743e+01-3.022e-02j      2.384e-07-9.822e-11j     -3.853e-02-1.258e-04j
1.099e-04       3.744e+01-3.015e-02j     -4.768e-07-1.084e-09j     -3.842e-02-1.254e-04j
1.101e-04       3.746e+01-3.008e-02j      7.153e-07+5.148e-07j     -3.831e-02-1.249e-04j
1.102e-04       3.747e+01-3.001e-02j      0.000e+00+2.530e-10j     -3.820e-02-1.244e-04j
1.104e-04       3.748e+01-2.994e-02j      0.000e+00-9.978e-10j     -3.809e-02-1.240e-04j
1.105e-04       3.750e+01-2.987e-02j     -2.384e-07+3.058e-10j     -3.798e-02-1.235e-04j
1.106e-04       3.751e+01-2.979e-02j      0.000e+00-3.532e-11j     -3.787e-02-1.231e-04j
1.108e-04       3.753e+01-2.972e-02j      7.153e-07+4.683e-07j     -3.776e-02-1.226e-04j
1.109e-04       3.754e+01-2.965e-02j      7.153e-07+4.739e-07j     -3.765e-02-1.222e-04j
1.111e-04       3.756e+01-2.958e-02j     -4.768e-07+7.384e-10j     -3.754e-02-1.217e-04j
1.112e-04       3.757e+01-2.951e-02j      0.000e+00-8.199e-10j     -3.744e-02-1.213e-04j
1.114e-04       3.759e+01-2.944e-02j      0.000e+00+1.199e-09j     -3.733e-02-1.208e-04j
1.115e-04       3.760e+01-2.937e-02j     -2.384e-07+1.740e-09j     -3.722e-02-1.204e-04j
1.116e-04       3.761e+01-2.930e-02j      4.768e-07-2.317e-10j     -3.712e-02-1.199e-04j
1.118e-04       3.763e+01-2.923e-02j      0.000e+00+1.124e-09j     -3.701e-02-1.195e-04j
1.119e-04       3.764e+01-2.916e-02j      2.384e-07+5.717e-10j     -3.690e-02-1.190e-04j
1.121e-04       3.766e+01-2.909e-02j     -4.768e-07+2.435e-09j     -3.680e-02-1.186e-04j
1.122e-04       3.767e+01-2.901e-02j     -2.384e-07-2.714e-10j     -3.669e-02-1.182e-04j
1.124e-04       3.769e+01-2.894e-02j     -2.384e-07-1.033e-09j     -3.659e-02-1.177e-04j
1.125e-04       3.770e+01-2.887e-02j      0.000e+00-2.005e-11j     -3.648e-02-1.173e-04j
1.127e-04       3.771e+01-2.880e-02j      7.153e-07-1.402e-09j     -3.638e-02-1.168e-04j
1.128e-04       3.773e+01-2.873e-02j      4.768e-07-2.715e-09j     -3.628e-02-1.164e-04j
1.129e-04       3.774e+01-2.866e-02j      2.384e-07+6.230e-10j     -3.617e-02-1.160e-04j
1.131e-04       3.776e+01-2.859e-02j      4.768e-07-4.799e-10j     -3.607e-02-1.155e-04j
1.132e-04       3.777e+01-2.852e-02j     -4.768e-07+9.372e-10j     -3.597e-02-1.151e-04j
1.134e-04       3.778e+01-2.845e-02j     -7.153e-07+1.535e-09j     -3.587e-02-1.147e-04j
1.135e-04       3.780e+01-2.838e-02j     -7.153e-07+1.845e-09j     -3.577e-02-1.142e-04j
1.137e-04       3.781e+01-2.831e-02j     -2.384e-07+7.077e-10j     -3.566e-02-1.138e-04j
1.138e-04       3.783e+01-2.824e-02j     -2.384e-07+1.567e-10j     -3.556e-02-1.134e-04j
1.139e-04       3.784e+01-2.817e-02j     -2.384e-07-4.344e-11j     -3.546e-02-1.130e-04j
1.141e-04       3.785e+01-2.810e-02j      2.384e-07-1.408e-09j     -3.536e-02-1.125e-04j
1.142e-04       3.787e+01-2.803e-02j     -2.384e-07+3.218e-10j     -3.526e-02-1.121e-04j
1.144e-04       3.788e+01-2.795e-02j     -7.153e-07+2.191e-09j     -3.516e-02-1.117e-04j
1.145e-04       3.789e+01-2.788e-02j     -4.768e-07+4.079e-09j     -3.507e-02-1.113e-04j
1.147e-04       3.791e+01-2.781e-02j     -7.153e-07+1.354e-09j     -3.497e-02-1.109e-04j
1.148e-04       3.792e+01-2.774e-02j      7.153e-07-2.666e-09j     -3.487e-02-1.104e-04j
1.150e-04       3.794e+01-2.767e-02j      4.768e-07-4.880e-10j     -3.477e-02-1.100e-04j
1.151e-04       3.795e+01-2.760e-02j      0.000e+00+2.216e-10j     -3.467e-02-1.096e-04j
1.152e-04       3.796e+01-2.753e-02j      7.153e-07-1.950e-10j     -3.458e-02-1.092e-04j
1.154e-04       3.798e+01-2.746e-02j      7.153e-07-8.776e-11j     -3.448e-02-1.088e-04j
1.155e-04       3.799e+01-2.739e-02j      2.384e-07+2.274e-10j     -3.438e-02-1.084e-04j
1.157e-04       3.800e+01-2.732e-02j     -2.384e-07+5.469e-10j     -3.429e-02-1.080e-04j
1.158e-04       3.802e+01-2.725e-02j     -2.384e-07+6.055e-10j     -3.419e-02-1.075e-04j
1.160e-04       3.803e+01-2.718e-02j      4.768e-07-5.172e-10j     -3.409e-02-1.071e-04j
1.161e-04       3.804e+01-2.711e-02j      2.384e-07-1.573e-09j     -3.400e-02-1.067e-04j
1.162e-04       3.806e+01-2.704e-02j      4.768e-07-7.168e-10j     -3.391e-02-1.063e-04j
1.164e-04       3.807e+01-2.698e-02j      2.384e-07+5.864e-10j     -3.381e-02-1.059e-04j
1.165e-04       3.808e+01-2.691e-02j      4.768e-07-1.389e-09j     -3.372e-02-1.055e-04j
1.167e-04       3.810e+01-2.684e-02j      2.384e-07-8.734e-10j     -3.362e-02-1.051e-04j
1.168e-04       3.811e+01-2.677e-02j      0.000e+00-7.284e-10j     -3.353e-02-1.047e-04j
1.170e-04       3.812e+01-2.670e-02j      7.153e-07-3.056e-09j     -3.344e-02-1.043e-04j
1.171e-04       3.814e+01-2.663e-02j      4.768e-07+4.381e-11j     -3.334e-02-1.039e-04j
1.173e-04       3.815e+01-2.656e-02j      0.000e+00+1.626e-09j     -3.325e-02-1.035e-04j
1.174e-04       3.816e+01-2.649e-02j      4.768e-07-3.302e-10j     -3.316e-02-1.031e-04j
1.175e-04       3.818e+01-2.642e-02j      7.153e-07-2.720e-09j     -3.307e-02-1.027e-04j
1.177e-04       3.819e+01-2.635e-02j      7.153e-07-8.077e-10j     -3.298e-02-1.023e-04j
1.178e-04       3.820e+01-2.628e-02j      4.768e-07-1.337e-10j     -3.289e-02-1.019e-04j
1.180e-04       3.822e+01-2.622e-02j     -2.384e-07-8.186e-10j     -3.279e-02-1.016e-04j
1.181e-04       3.823e+01-2.615e-02j     -4.768e-07-3.138e-10j     -3.270e-02-1.012e-04j
1.183e-04       3.824e+01-2.608e-02j      9.537e-07-2.201e-09j     -3.261e-02-1.008e-04j
1.184e-04       3.825e+01-2.601e-02j      4.768e-07-1.019e-09j     -3.252e-02-1.004e-04j
1.186e-04       3.827e+01-2.594e-02j      2.384e-07+2.296e-10j     -3.243e-02-1.000e-04j
1.187e-04       3.828e+01-2.587e-02j     -2.384e-07+1.310e-10j     -3.235e-02-9.962e-05j
1.188e-04       3.829e+01-2.581e-02j      2.384e-07+8.341e-10j     -3.226e-02-9.924e-05j
1.190e-04       3.831e+01-2.574e-02j     -7.153e-07+5.492e-09j     -3.217e-02-9.886e-05j
1.191e-04       3.832e+01-2.567e-02j      2.384e-07-1.135e-09j     -3.208e-02-9.848e-05j
1.193e-04       3.833e+01-2.560e-02j      4.768e-07-1.269e-09j     -3.199e-02-9.810e-05j
1.194e-04       3.834e+01-2.553e-02j      0.000e+00+3.566e-10j     -3.190e-02-9.772e-05j
